ID,Name,Genre,Description
67, Getting Into the Game (2009) , talk-show ," In October 2008 the Writers Guild Foundation presented, for the first time, an all-day craft seminar focused on writing videogames. It gathered together writers, distributors, producers, an agent, a lawyer, a WGA analyst and some prominent journalists in the field, and asked them to share their expertise, experience and some insights they have gained from working in the medium. The result is Getting Into the Game, which we hope you find as instructive and informative as did our attendees."
68," ""Get Cooking with the Stars"" (2012) ", talk-show ," International Celebrities join Host Laurie Belle and renowned chefs such as Tojo to cook and chat about their Latest Projects. The guests ""Sing for their Supper"" as we take them on various fishing, shopping, and different locales in a half hour variety show. Entertainment with a twist,"
69," ""Ziva Vrazka"" (2016) ", talk-show ," ""Ziva Vrazka"" is a Morning and Night Show Simultaneously for the Bulgarian Community-a Morning Show in Bulgaria and Europe, and a Night Show in USA and Canada. The English Translation is ""Live Connection""-the Idea is The Show to be a ""live connection"" between Bulgarians from All Over The World, and Those in Bulgaria. A dynamic Mix of News, Opinions, Comments about Popular Events, and Inspiring Stories-It is a Show about People who Search, Try, Build, and Succeed."
70," ""Sister Blvd."" (2002) ", talk-show ," Detroit's hottest new talk show entitled ""Sister Blvd!"" The show premiered on PAX31 Network, Sunday, November 2, 2002 in the time slot of 1:30 to 2:30 pm. From left to right on the photo: LaTanya Hall, Brook Malone, Trish Beyries, and executive producer Yvette Araujo. ""Sister Blvd"" is a television talk format staged before a live studio audience of approximately 115 attendees. We appeal to all contemporary women from the college freshman to those in their sensational sixties!! The show is a fast-paced, interactive hour between it's female co-hosts, guests, and the audience with round-table discussions on contemporary issues such as: Health: Your Life and Well-Being; Sisters on the Go: Travel Excursions; Real-Estate: Hot Properties....Find the Right Home to Suit Your Lifestyle; Entertainment: The Who's Who of Hollywood; Styleworks: Staying Up to Date on the Latest Trends and Fashions; and Finance: How to Make Your Money Work for You! ""Sister Blvd's"" co-hosts represent a thirty year age range as well as diverse cultures and occupations. The common denominator is intelligent, provocative women who are grounded in all phases of life's time line - past, present, and future. The journey of the show mimics that of the city of Detroit by exploring the rich, unique history of the region, celebrating this moment in time while progressing to a new exciting future. ""Sister Blvd"" boasts local flavor with national appeal!"
71," Crossing Over: Angels, Spirit Guides and Earthbound Ghosts (2014) ", mystery ," Diana Palm is a medium, paranormal investigator, afterlife researcher and author of ""Setting Spirits Free"". After living in numerous haunted houses she decided to develop her gifts in working with the spirit world. She became a Theta Healing Practitioner and Instructor to assist others in their own healing and understanding of the spirit realms. Join Diana as she presents information gathered over a lifetime of working within the spiritual dimensions including: crossing spirits over; how to do a proper investigation; what happens to our soul upon death; afterlife communication; earthbound ghosts; calling upon angels, saints and guides; and more."
72, Shin kagiana karamiau shita to shita (2005) , mystery ," A beautiful woman marries a wealthy man, who for years chose to be a bachelor in spite of numerous female suitors. At first the marriage is perfect; he's a loving husband and an enthusiastic lover. But soon the romance cools and the wife discovers that it has to do with a secret kept in the attic, something - or someone - he visits every night, that is changing him from a loving husband into a stranger... Akira Fukamachi directs this erotic and atmospheric drama. A beautiful woman marries a wealthy man, who for years chose to be a bachelor inspite of numerous female suitors. At first the marriage is perfect; he's a loving husband and an enthusiastic lover. But soon the romance cools and the wife discovers that it has to do with a secret kept in the attic, something - or someone - he visits every night, that is changing him from a loving husband into a stranger... Akira Fukamachi directs this erotic and atmospheric drama. Directed by Akira Fukamachi"
73, The Invisible Hours (2017) , mystery ," A group of strangers receive a curious invitation from enigmatic inventor Nikola Tesla, offering each of them the chance to make amends for their darkest wrongdoings. When the last guest arrives at Tesla's isolated mansion laboratory, they find him dead - murdered. Disgraced Swedish detective, Gustaf Gustav, vows to find the killer amongst the other guests: a blind butler, a convicted murderer, the world's most famous actress, Tesla's former assistant, the son of a wealthy railroad magnate, and rival inventor Thomas Edison. But none of these people are what they seem. The Invisible Hours is a complex murder mystery in VR in the style of immersive theater, in which players freely explore and observe an intricate web of interwoven stories within a sprawling mansion - in order to untangle the dark truth at its heart. As a player, you're completely immersed in the stories unfolding around you. Invisible to the cast, you have the unique experience of following and observing anyone at any time and self-exploring the mansion freely for hidden clues."
74, The Longest Night (2012) , mystery ," John Dean arrives in the UK to track down a killer. Accompanied by the victim's sister Kristanna and after a encounter with a clairvoyant they find themselves embroiled in a web of murder, deceit and lies."
75, Chamber of Shadows (2009) , mystery ," After the murder of her techno-genius boyfriend Rick, Jill's only desire was to get away from the corporate goons she believed were responsible for his untimely death. But after she arrives at the country home of her reclusive Uncle Lewis, Jill discovers a world of dark secrets that reveal the truth she had sought so desperately to escape. Drawn into a maze of conspiracy theories and counter-plots, Jill--along with her teenage-wasteland cousin Jim, his stoner sidekick Mike, and mysterious Chilean beauty Pamela must decide who the real terrorists are..."
76, Blind Adventure (1933) , mystery ," Robert Armstrong plays Richard Bruce, an American in fog bound London who stumbles into the midst of international intrigue, with Helen Mack as Rose Thorne, an innocent dupe. Together they try to unravel the mystery, enlisting the aid of a cat burglar named Holmes (Roland Young), who they bump into along the way."
77, Longchamps (2011) , mystery ," The Third World War has broken out. The Earth is cut off any communication. Twenty-four people are attending a party in a house located on the outskirts of Buenos Aires. Everyone is hiding secrets, personal tragedies and has undisclosed goals. In a corner, there are the musical scores that complete an unfinished work from Béla Bartók, maybe the only way to save the world."
78, Lamont Big L Coleman (????) , mystery ," Big L rap career lasted a short time but his influence touched many in New York state area and beyond (D.I.T.C., Children of the Corn, Gang Starr, 2Pac, Jay-Z, Kool G Rap, Big Daddy Kane) also sign his own label deal Columbia, Flamboyant Entertainment, Rawkus, Flamboyant."
79, Murder at High Tea (2014) , mystery ," After a string of bizarre mishaps at the 'La Lady Lemon Zinger Tea Room', tea room owner, Hayley Westchester-Michelson hires two private investigators (who just happen to be dining in her tea room) to investigate her quirky employees. The investigation reveals embezzlement, poisoned tea and murder. Mystery/Comedy."
80, Sherlock Holmes and the Shadow Watchers (2011) , mystery ," The sensational details of a gruesome murder in The Daily Gazette have London in a panic, as a blood-thirsty madman - more vicious than Jack the Ripper - preys upon the city. Of greater concern to Scotland Yard, however, is that the account of the murder was published nearly two hours prior to the crime having been committed! Sherlock Holmes and Dr. Watson - the Great Detective and his faithful assistant and chronicler - find themselves challenged with one of their most baffling cases - ""The Case of the Woman Who Was Murdered Tomorrow""! Will an innocent man be sent to the gallows? How much blood will be shed before a scarred fiend is brought to justice? ...And who are the mysterious Shadow Watchers, a coven of ominous figures who orchestrate terror from within the darkness? Starring Anthony D.P. Mann as Holmes and Terry Wade as Dr. Watson, ""Sherlock Holmes and the Shadow Watchers"" is a horrifying new adventure, produced with the kind permission of the Conan Doyle Estate"
81," ""Me vs. Me"" (2006) ", sport ," Me vs. Me helps the underdog sports enthusiast shed their underdog status by pairing them up with a famous coach or sports figure. On top of this, each underdog is given the best gear to date in his sport - all this in an effort to achieve their sports goal. Can wake boarder learn to slalom ski? Can a golfer break 90. Can and cyclist climb Mt. Baker?"
82," ""Football Freestyler 2"" (2015) ", sport ," Follow the antics of football world record holder Dan Magness, as he meets the world's best football players and freestylers and performs his own tricks and skills to put a smile on peoples faces! Featuring both Professional Footballers and Professional Freestylers, the Series will examine the passion, the artistry, the training and the dedication needed to master a football."
83, NWA/AWS: Bart's Birthday Bash 08 (2008) , sport ," A Four-Corners Steel Cage Gauntlet Tag Team Match. Champions the Cutler Brothers take on the Young Bucks, the Ballard Brothers and the team of Scorpio Sky and Lil' Cholo. Plus the NWA Heritage Title is on the line as Champion TJ Perkins defends against Joey Ryan! All this plus much more!"
84, Naturally Intense (2008) , sport ," Champion Natural Bodybuilder, Kevin Richardson's video, Naturally Intense, shows the high intensity workouts and principles that enabled him to transform himself from a 125lb teen into a 225lb ripped to shreds natural bodybuilding champion- without the use of steroids or drugs of any kind! Training only 20 minutes three times a week Kevin has been able to forge a world-class physique while still maintaining a balance in life. You don't need to spend countless hours in the gym, to achieve your goals, and Kevin's Naturally Intense approach allows for bodybuilding to truly be a healthy and wholesome pursuit. Having successfully trained hundreds over the past 16 years, he is truly the modern guru of natural bodybuilding. Along with his workout partner, future fitness sensation and drummer extraordinaire, LaFrae Sci, you will see exactly how Kevin trains. No camera tricks, no out takes, just pure hardcore training that show some pretty fantastic examples of pushing it to the limit and beyond. The incredible weights lifted and the phenomenal physiques prove without a doubt that you do not need drugs or special supplements to realize the upper levels of human physical development."
85, The Spiral Bike Project (2005) , sport , This is a movie that tells the story of how a first time custom motorcycle builder (Jeff Bach) built his first bike. This is a family friendly instructional DVD intended for someone who is interested in learning and researching the process of building their own custom motorcycle. The bike was built over the winter of 2005 using common tools available to the average homeowner.
86, Envy (2007) , sport ," Are you ready for the beach? Or just want to fit into that new dress? The Envy Girls are the World's first super team of fitness. Lead by Playmate of the Year, Kara Monaco, all the girls are professional bathing suit models, who, with the help of celebrity fitness expert Michael Carson present a revolutionary new DVD series that focuses on key trouble areas abs, buns, legs and arms that will give you a body that will be the envy of others."
87, 2010 Golden Gloves National Tournament of Champions (2010) , sport ," Complete coverage of the 2010 Golden Gloves National Tournament of Champions. Golden Gloves has been the premier brand for amateur boxing in the United States since their first tournament in 1923. Since then, the Golden Gloves program has led the way in providing opportunities for young boxers to develop personal and athletic skills in and out of the ring. Former Golden Gloves Champions include Joe Louis, Sonny Liston, Muhammad Ali, Joe Frazier, George Foreman, Sugar Ray Leonard, Mike Tyson, Evander Holyfield, Floyd Mayweather Jr, and Oscar De La Hoya."
88," ""Fighters Nation"" (2010) ", sport ," There's no denying the impact that Mixed Martial Arts is having on the world of sports and sports entertainment. What was once an obscure and esoteric fighting style with a small fan base has gone on to become a major multimillion dollar industry, filling basements, pubs and barrooms with devoted followers. Detractors call it brutal, governments treat it with hostility, but there is no denying the draw of Mixed Martial Arts; it is a fight that is pure, a fight that is completely unhinged, a perfect display of two athletes willing to push the limits of the body; shedding blood, sweat and tears in order to carve out one more victory... or fall at the feet of the others shadow."
89, The SixPackNow Abs Workout (2007) , sport ," The SixPackNow Program Abs Workout DVD is the complete Training & Nutrition System to get those all important six pack abs. And it's for both men and women. Hosted by International Fitness Expert Peter Carvell, the DVD combines all the key principles for getting that elusive six pack stomach, from proper training techniques to diet and nutrition, ab workouts to suit all levels of ability (beginner, intermediate and advanced) and an additional 50 exercises to custom build your own workouts! This DVD leaves no stone unturned, it is without doubt the most comprehensive ABS DVD to date"
90, BalanceBall Fitness: Beginner's Workout (2002) , sport ," BalanceBall Fitness is an exciting new way to get into shape using the fun and versatile BalanceBall. Based on the principles of yoga and Pilates, this unique Beginner's Workout introduces you to basic stretching and resistance movements that can help you improve strength, coordination, balance and flexibility. With an added emphasis on breathing and concentration, you'll learn the fundamentals of mind-body awareness and be ready to take yourself to the next level of fitness!"
91, Bird Idol (2010) , animation , The story revolves around a bird called 'Hummi' who is not happy with the bird music and is greatly impressed by human music and how he introduces human music to the bird music by entering into a competition called Bird Idol and with his genuine effort he puts himself and his parents into trouble.
92, Engel mit nur einem Flügel (2012) , animation ," Six members of the Gothic-Scene and the ghost of a pink bathrobe try to manage everyday life. They are confronted with problems, everybody knows (making the dishes, non-smoking areas, shopping and the own death). The movie is a persiflage to the prejudice about members of the Gothic-Scene. The characters make the stereotypes come true and because of that, everything they try to do, becomes a disaster."
93, Till Eulenspiegel (2012) , animation , Do you already know the story of Till Eulenspiegel? No? Then comes with us and experience his merry adventures.
94, Monster High: Escape from Skull Shores (2012) , animation ," It's officially Spring Break at Monster High, and Lagoona takes her gilfriends across the sea to the Great Barrier Reef, but they are ship wrecked and end up on a mysterious skull shaped island. Here they enjoy the local hospitality until they realize that they are being used by a slippery showman named Farnum to lure the rarest, most mysterious monster of them all, ""the Beast"" into a trap. Frankie is taken by the Beast but tables turn and she ends up rescuing him and returning with him to Monster High. The story goes to high voltage when they realize that Frankie has inadvertently led Farnum to the location of the greatest gathering of monsters anywhere...Monster High."
95," ""Fun Farm"" (2014) ", animation ," 52x7' Fun Farm is a very unique place. A farm operated by funny and weird animals. The most simple thing can turn a regular day at the farm into an exciting day of discovery and adventure. With their diverse personalities they react in completely different (and sometimes crazy) ways to the exact same event. This of course, creates conflict and tension between the characters. Hmmm, I think a recipe for hilarious situations - and with no dialogues! Well, if you loved Looney Tunes you will definitely enjoy Fun Farm."
96, Return of the Commander (2008) , animation ," If Charlie Brown had grown up, he'd probably be a lot like Brandon. He's a thirty-year-old man-child whose dreams of becoming an artistic success have been thwarted in the biggest way possible- he's the lowest of the low in the creative industry... a wedding videographer! Haunted by visions of his 5-year-old self crying at what he's become, Brandon is ready to give up all hope, until one day he gets a mysterious phone call from his childhood mentor, ""Commander"" Mark Kistler. Brandon's world rapidly unravels, and a wacky plot involving killer mechazoid robots and time travel ensues."
97, Alamaya (2013) , animation ," The tale of a 9-year-old boy named Jian - a shy, unassuming child living in the quaint and bustling small town neighbourhood of SS2, Malaysia. Growing up in his mother's flower shop, nosy neighbours, rusty grills and quirky signboards were about all that made up Jian's world."
98," ""Return to Mysterious Island"" (2017) ", animation ," The story combines one survivor of the original cast from the Jules Verne book with memorable new characters drawn not only from Mysterious Island, but also from Verne's Master of the World. These adventures seek the lost island that holds the advanced scientific secrets of the legendary Captain Nemo."
99, Cyber Optics (2012) , animation ," Cyber, the Ruler of Information in the Digital World, is stressed because he can't be everywhere at once to solve Cyber Crime. The Divine Artificial Intelligence searches for a team to assist him and finds three teenage girls, Zip Java and Maya at a Magnet School for Technology. Cyber transfers their Genetic Code to Digital Code so they can traverse Cyber Space, rooting out Criminal Hackers and showing them the error of their evil ways. While almost as harrowing as navigating the halls of a High Tech High School, with classmates Crash Worm and Harumi, fighting cyber crime proves to be a lot more fun."
100, Princess of Rome (2015) , animation ," It is 842. The years seem to be alike, as well people were accustomed to their living in Byzantium. Markets were crowded by sellers and buyers. Guard were bent at the city wall, and its notables have been delivering news of the parish for Tsar. Whereas his messengers were delivering the urgent news about Muslims movements, which was a bugbear for him, since the peace and calm that Byzantium have been blessed with centuries ago was being threatened and able to be vanished. Nevertheless, in Byzantium, children were working, and priest was desperate of the city and people way of living, so he had preached them and promised them with salvation after restating the verses of Gospel. And by the scenery, an old lady waiting the promised day. Inside the castle, the servants were preparing food and cleaning the rooms, halls and corridors. Tsar was at his daily morning walk accompanied by his guards who wait for any new order. But.. A single room in Tsar castle was different, his granddaughter ""Mallika"", who had been always worried. She was not sad for the earthquake that ruined her wedding ceremony, because her grandfather promised to reside a better and special one that Rome have not seen before. In spite of this, she was thinking about injustice and turmoil that people had been suffering from, and how she can help in achieving justice. Nothing can calm her down except prayer and crying, in addition to some dreams that take her to another world. But all the castle dwellers thought that her new wedding ceremony will make her feel better, the wedding that she had never liked and every time she thought about she felt worse. One day, Lady Mallika waked up happily, she had dreamed of a promising future. What was that dream? And how princess of Rome moved to slave market in Baghdad, and then to the house of Imam Ali Al-Hadi (peace be upon him) ? What are the events that lead to achieving the promised annunciation? And why the butterfly and the bat were following ""Mallika""? It will be the events that the interesting movie ""Princess of Rome"" will reveal."
101, Love Bites (2018) , horror ," Hollywood has long since been a haven for vampires and other underworld creatures. They have used the industry to fashion their own lore while protecting them from a human society. Detective Peter King becomes involved personally and professionally with Osvanna Moore, once scream queen, now horror studio mogul and a 400 year old vampire. Together they try to outpace a serial killer who has targeted Osvanna and much of her vampire clan...The Vampires of Hollywood."
102, Dark Remains (2005) , horror ," When the daughter Emma of the technical writer Allen Pyke and the photographer Julie is found slashed in the throat and wrists in their locked apartment, the couple decides to move to an isolated cabin in the mountains in Kingspike. Julie is very depressed and blames Allen for the death of Emma. Once in the new home, Julie sees the spirit of Emma in a photo she took in a nearby abandoned prison and she becomes obsessed shooting pictures of poltergeists. Allen is advised to move from the place by the local Jim Payne, and on May 21st, Allen finds that the former dwellers of the cabin have committed suicide, and he investigates the death in the spot and finds that many people died around May 22nd. He decides to move with Julie to a hotel, but she does not want to give up on Emma."
103, Murderer (2006) , horror ," Set in a dark prison cell on death row, a serial killer ponders the meaning of his life, and decides to kill himself just to experience the rush of dying. He notices that every time he tries to kill himself, some other 'bad' person dies instead. He assumes he is dreaming, as he is also haunted by a strange creature like prison guard who appears every time he attempts suicide. The murderer tries to come up with bizarre ways to finally kill himself once and for all. Ultimately, there is a chilling confrontation between the murderer and the creature haunting him."
104, Matakot ka sa karma (2006) , horror ," This is a horror trilogy ""about an antique shop where the pieces of the furniture each have their own stories from the past. The new owners get their little piece of horror,"" says Joey Reyes. In ""Kama,"" Aleli purchases an antique bed, not realizing that its previous owner of the bed is out to claim her son. ""Aparador"" is about a couple who purchased an antique cabinet where a young man died inside before. In ""Tokador"", an independent woman gets a possessed dresser out to take her soul."
105, Savage Lagoon (2007) , horror ," Beautiful countess of Rudlov disappears in late 1940s. The legend blames the monster, the people blame the lagoon. Nearly 50 years later, the spirited Illona Rudlov, is a struggling ballerina living in New York. When the Velvet Revolution occurs, she decides to go to Czechoslovakia to reclaim her ancestors castle. She falls for a handsome hunter, (Jan) Paul Hawkins and is haunted by a mysterious creature there."
106, SED: Thirst (2017) , horror ," Dominic and Maria were once a happy and social married couple, but an encounter with an ex turns Dominic's world upside down. Now reclusive and living in a desolate wooded area, the strained relationship is marred by Dominic's dark secret - one that has him thirsting for his wife's blood. ""SED"" is a modern take on the vampire genre, replacing an often glamorized look with a gritty view of the monster's struggles."
107, Lust in Hell: Edge of the World (2009) , horror ," (Japanese with English subtitles) After losing her parent in a tragic traffic accident, Koto develops the ability to communicate with the dead. Hospitalized for extreme trauma, Koto escapes to return to the place where her parents died. There she meets Shinji, whose lover also died in a car accident. He and Koto then embark on an illicit and terrifying journey heightened by lust and death."
108, Scars (2016/II) , horror ," SCARS is a psychological thriller, written and directed by Canadian filmmaker Sean K. Robb. In this stark and disturbing story, Scar - a raven-haired punk with blood under her fingernails - and Scarlett - a blond beauty with a penchant for extortion - discover that they enjoy killing men together. 'Killing dudes is easy,' says Scar, as the two women embark on a violent and ruthless killing spree, pursued by the mysterious Det. Mike. A story about what happens to human beings who allow themselves to be consumed by nihilism and misanthropy, SCARS is an exploration of morality and ethics in a post 9/11 world - a tense and terrifying film that's part character study, part slasher flick."
109, The House of Screaming Death (2017) , horror ," Echoing the distinctive and much celebrated great British Gothic Horror films of the 1960-70s, The House of Screaming Death will uphold their successful traditions with the telling of four macabre tales of terror all told by the mysterious Architect. Each horrific segment delves into explicit corners of the supernatural, summoning such damned creations as the ghostly Lady in Grey, stories of Witchcraft most foul, Vampirism and the Occult. But as these horrifying tales unfold with nightmarish conclusions, the Architect also has one last shocking secret of his own to tell. A dark and stormy night... A collector of the macabre weaves four tales of terror for a group of very special guests. ""The Lady in Grey"" - 1943; as the flames of war spread, a veteran of the Great War looks back on the history of Bray Manor and the ghosts that haunt him and the hallways of the ancient house. ""The Witch in the Mirror"" - 1970; Lily Proctor inherits the old house and as the spirit of a witch trapped in the Netherworld by the spectral Necromancers tries desperately to escape back into our realm a dark secret from Lily's past is revealed. ""The Vampyre"" - 1888; following a string of killings a young gentleman comes to Bray Manor. Painted as an outcast by the villagers he befriends a helpless stranger, but his kind heart may be his own undoing. ""The Diabolique"" - Sam Campbell finds himself at the center of strange happenings as an ancient, demonic spirit strives to break into our world. Each of these stories has a sting in its tail, but the final revelations of who the Architect is may just be the biggest shock of all."
110, 12 Nights with the Grulems (2017) , horror ," A Gritty paranormal horror about a team of 6 specially talented investigators looking in to 1 of history's strangest and darkest family's known as THE GRULEMS . A family of 12 who lived in the year 1818 and were said to have practiced dark black magic .Now as legend would have it the GRULEMS worshiped an evil dark entity known only as GLOR. And the GRULEMS had learnt that by each offering an innocent soul up to this dark spirit that they would each obtain the ability to return to our plain of existence for 1 night once every 100 years to act out there Gruesome fantasy's of murder and mayhem. Now 100 years later in the year 1918 there was reports in the area where THE GRULEMS used to live and 144 people were strangely killed in there sleep over the 12 nights that THE GRULEMS are said to be able to return to gather more souls. Now in modern day a group of paranormal investigators have found out about the legend and decide that there next project should be to investigate this legendary family ,they seek out the place THE GRULEMS used to live all them years ago and begin an investigation over the 12 nights legend says the family can return.. The 6 highly trained paranormal investigators and psychic's and a powerful Priest must now do battle with 1 of history's most violent and unpredictable family's known as THE GRULEMS"
111, The Blue Boy (1994) , thriller ," Marie is an insecure housewife whose husband, Joe, is having an affair. The two of them take a holiday to rural Scotland, but by sheer bad luck, end up at the hotel Joe uses for his ""getaways."" There, Marie is told the story of a young boy who drowned in a nearby lake long ago, and finds herself becoming more and more obsessed with his ghost."
112, Killing Grace (????) , thriller ," A prominent couple are returning home when their vehicle unexpectedly crashes into a ditch on a dark desolate road. The husband is injured badly. the wife flags down another car to take her for help. On their way back to save her husband, the wife finds herself on a sudden life threatening detour."
113, Crooked Tree (????) , thriller ," The customarily docile bears in the north woods inexplicably turn aggressive because of the bearwalk, an ancient practice of transmigration of souls of people into animals by those who inhabited the Great Lakes region before the coming of the Europeans. Small town attorney Axel Michelson comes to realize his Native American wife Janis, a descendant of Ottawa chiefs, is possessed by the same evil that possesses the bears, and to stop the rampage, to save his wife, Axel must learn the old ways and defeat the ancient evil on its own terms"
114, Rare Blood (2017) , thriller ," This fast paced, dramatic thriller is set on a remote farm in the KZN Midlands. A family that once dreamed of an idyllic country existence find themselves submerged in a dystopian nightmare. KEIRA (Annie Robinson) and EMMA (Ella Grealy) return from a trip abroad to their home in the Midlands to a world turned upside down by her husband PANOS (Brendan Grealy), and Emma's father. GUNTHER (Mark Mulder) is a friend of Panos and Keira and is helping set up a business deal while staying rent-free in a cottage on the farm. OLGA (Fiona Ramsay) is Panos's sister and together the two hatch a plan to drive Keira from the farm. The film portrays that struggle, an urgent, heart wrenching one night of hell where they have to act and think fast to survive. Keira is surrounded by a slow rot of hidden agendas and it seems that there is no where to turn."
115, The Cellar Door 2: Preymates (????) , thriller ," The nightmare continues for Rudy even though Herman has been locked away in an institution for the criminally insane. A mysterious copycat killer is stalking her, taunting her with the last words on earth she wants to hear; ""Herman wants to play""."
116, Sebunzu feisu (2000) , thriller ," A horrifying crime has been committed in Tokyo: a girl's body was found frozen in a block of ice inside a steel drum. The only lead the police are able to find is a web site calling itself ""Seven's Face"" that seems to know a lot about the case. Soon the information on the page changes, and a new murder victim is found matching the new details. Police detective Uchiyama finds several people who seem very suspicious, but none of them can be conclusively linked to the crimes. Who is committing these murders, and where will the next victim be found?"
117, A Stale Yellow (2009) , thriller ," Rookie Private Investigator Kurt Galloway is fresh out of school and looking for work. To his surprise, when he arrives home an old neighbor, Mr. Mackenzie, is already interested in his services. Mackenzie hires Kurt to find his wife, who has been missing for three weeks in the sordid Chalice City. Positive that his first case is an affair, Kurt rushes off to Chalice City to solve it. But once in town, Kurt soon finds his case taking a much darker and deadlier turn. When brutal criminal murders start taking place all around Kurt, and the people he's been questioning are dying off, Kurt's supposed affair rapidly turns into a supernatural nightmare that is way out of his league.."
118, Dark Mansions (1986) , thriller ," A woman hired to write the history of a wealthy family stays at the family's estate in Oregon. She discovers that she strongly resembles a long-dead ancestor in the family, and finds things happening to her that happened to--and led to the death of--that woman."
119, Separated at Birth (2017) , thriller ," Lucy Pierce grew up believing she had a normal childhood with a loving and supportive mother, until she discovers old articles about the ""Baby Victoria"" disappearance - a high-profile abduction case that occurred when she was born. She is shocked to see that her baby picture is front and center. Determined to find answers, Lucy tracks down her biological mother, Elizabeth Marshall, a criminal prosecutor running for Governor of Pennsylvania. Overnight Lucy goes from an anonymous 20- something to a media sensation. While Lucy's reunion with Elizabeth is heartfelt, the same can't be said for her relationship with her newfound sister, Terri. Spoiled, rudderless and used to being an only child, Terri resents Lucy. Jealousy morphs into sabotage, as Terri realizes that if she can't bring herself up to Lucy's level, she must bring Lucy down to hers. The family reunion spirals out of control as Lucy finds herself in the middle of a police investigation which forces Elizabeth to distance herself to protect her campaign. As Lucy questions who is really trying to defame her, is something more sinister happening to tear this family apart, yet again?"
120, Possum Hunter (2000) , thriller ," Four boys (School Pals) decide to go camping at a hut in the forest before heading off to start college. They tramp into the forest and discover that the hut has been burned down, while looking for something else to sleep in they meet a deranged Possum Hunter in the bush who offers them shelter in his hut. They take up his offer stay in his hut for the night and have a drink with him. Later that night they find a severed hand hidden in a box at the back of the hut and suspect that Hunter might possibly have killed someone and is hiding form the police. The four boys decide to play it cool and raise no alarms but to get out of there in the morning. Morning comes and the boys try to make a hasty retreat but the Hunter gets suspicious of their change of attitude towards him and then discovers that one of them (the boy's) has taken an old bone of his and accuses them of stealing from him, Rob try's to smooth over the situation but gets smacked across the face by the but of his rifle, Hamish rescues Rob from the Hunter but the hunter declares that he is going to give them the length of time of two cigarettes before coming to hunt them down. The boys make a break for it and try and get as far away from the hunter as possible. The hunter finishes his second smoke and the hunt is now on. Now it is a race for the boys to get back to their car with their lives or end up dead in the forest. The boys try and run as fast as they can but one of them trips and sprains his ankle, which leaves the others struggling to keep pace while carrying him. Soon the Hunter catches up to them with his skill and local knowledge of the forest and is trying to shot them down. Despite the boy's jump over step cliff and hide behind a tree truck in the stream below. While seeking cover behind the tree trunk and out of sight of the Hunter, they devise a plan to get back to car. They decide to make a break and run for it. The Hunter can see them from the top of the cliff and takes aim, realizing he is to far up, he jumps down the cliff and try's to chase them. He trips on the way down, dropping his gun and tumbles down to creek. This gives the boys enough time to make a break and get within sight of the car in an empty car park. Hamish decides to brave it walks to the car himself. Once getting to car and thinking the coast is clear, he summons the others to make their break. They do so and then discover once next to the car that the Possum Hunter is hiding behind a tree close by. He points the gun at them and tells them to line up in a single file. The boys do so and as the Hunter prepares to shoot them, the boys make a surprise attack on him and wrestle the hunter to the ground and get his gun from him. Amongst the panic and commotion, and one of the boys shots the Hunter in the chest and then in the heart. The Hunter dies and then there is a new dilemma of deciding what to do with his body- do they bury him in the bush and say nothing or go to the police and risk being tried for murder? After much debate they decide to bury the Hunter the bush. This weighs heavy on the conscious and walk away from the forest scarred forever with a secret they can never tell anybody."
121, The Sandman (????/I) , fantasy ," A wizard attempting to capture Death to bargain for eternal life traps her younger brother Dream instead. Fearful for his safety, the wizard kept him imprisoned in a glass bottle for decades. After his escape, Dream, also known as Morpheus, goes on a quest for his lost objects of power."
122, A Soldier's Christmas (2006) , fantasy ," On Christmas Eve, television news reporter Joe Storm is mysteriously transported from his back yard to a battlefield in Afghanistan. There he discovers first hand the heart and motivation of American soldiers in the field and the importance of their mission."
123, Five Crowns (2015) , fantasy ," ""Five Crowns"" is the culmination of the ""Destroyer Prince"" trilogy started by ""Destroyer Prince"" and followed by ""Conquering Kings"". In this third story, a Storyteller cheats death because Prince Kale takes a liking to him. Escorted by bodyguards Castor and Pollux, the two make their way back to Queen Galla's banquet hall. Peril ensues as Thrasher McCorkindale attempts to snuff out the prince and take the throne."
124, Sorcerer's Dolls (1998) , fantasy ," An enchanted being, Apitok, appears in a boarding school. Although he looks An enchanted being, Apitok, appears in a boarding school. Although he looks like an ordinary boy, long ago he was bewitched by an evil sorcerer for his misbehavior. Apitok brings his magic to the routine of the children's life in the boarding-school."
125, Adech (2014) , fantasy ," Sofia, ""the wisdom"", with a cure is able to heal all diseases. Sofia, the pure, does not want to use his discovery for commercial purposes, for the sake of humanity. Professor John Cardini helped by journalist Sandra Blacks, will investigate this case and discover many fascinating fact about the mystery hidden behind the ""medicine"" of Sofia."
